epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_sec
0,2.304427162339952,0.10002222222222222,2.304945248031616,0.1,24.462575900004595
1,2.6941934054056804,0.10028888888888889,2.69345587310791,0.101,220.82494730000326
2,1.97754324798584,0.2972666666666667,1.9924023288726807,0.2904,414.96709289999853
3,1.3118097046746149,0.5121111111111111,1.3126312257766724,0.512,608.3358159000054
4,1.0598738195631239,0.6494444444444445,1.0828832754135131,0.6486,807.7668978000002
5,0.8572889509624905,0.7025777777777777,0.8727001923561096,0.6964,1002.7359580000048
6,0.666647473610772,0.7568,0.719369833946228,0.7424,1197.0722461999976
7,0.6614468034002516,0.7590888888888889,0.7180167426109314,0.7476,1391.255653100001
8,0.5423373891088697,0.7942444444444444,0.6040436330795288,0.7758,1586.7161364000058
9,0.5999797401004368,0.7831111111111111,0.6742841520309448,0.7672,1784.0797328000044
10,0.5813914884355333,0.7930222222222222,0.6651565262794494,0.7734,1978.7409047999972
