epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_sec
1,2.1012454564200507,0.25706666666666667,1.6733915018081664,0.3782,33.52530239999987
2,1.4274272691938612,0.47155555555555556,1.1815417381286621,0.5676,34.26765539999997
3,1.1041770769966974,0.6026222222222222,1.2654895137786866,0.576,33.87172920000012
4,0.9037008510271708,0.6764222222222223,0.8373098288536072,0.7032,33.992798700000094
5,0.7610028390672472,0.7321111111111112,0.850327338218689,0.7012,34.451756899999964
6,0.6513624048550923,0.7723777777777778,0.7569316514968872,0.7428,33.52972030000001
7,0.5640055674764846,0.8017777777777778,0.6493791587829589,0.7788,33.28724949999969
8,0.5056291275342305,0.8250222222222222,0.5422640123367309,0.8152,33.5540345000004
9,0.4564864963107639,0.841,0.5279317922592163,0.819,33.29575699999987
10,0.4117382719304827,0.8547333333333333,0.531934658908844,0.8174,32.79621929999985
11,0.3819088465531667,0.8681555555555556,0.43049327530860904,0.8542,32.940998000000036
12,0.34742637888590494,0.8792444444444445,0.3963393246650696,0.8646,30.610461700000087
13,0.31821463157865737,0.8900666666666667,0.42295886244773867,0.858,30.523737699999856
14,0.28953915325270757,0.9004222222222222,0.39342498621940614,0.8682,30.58714860000009
15,0.2654907487498389,0.9073111111111111,0.37284157032966614,0.8744,30.531375300000036
16,0.24197520480155946,0.9156666666666666,0.3790506878852844,0.8706,30.528230399999757
17,0.2211578483528561,0.9233111111111111,0.38294126014709473,0.8762,30.38105540000015
18,0.19770098767280578,0.9318222222222222,0.3096169578075409,0.8952,30.660105399999793
19,0.17055752782291836,0.9406888888888889,0.3135477558135986,0.8984,31.1237157999999
20,0.14945484811200035,0.9481777777777778,0.30419728026390075,0.8962,31.29996680000022
21,0.12789161483844122,0.9564666666666667,0.28421995029449465,0.9054,30.747100800000226
22,0.10762952563762665,0.9632888888888889,0.2981273134708404,0.908,30.631901000000198
23,0.08864645913971796,0.9696444444444444,0.285767165851593,0.9118,30.858060000000023
24,0.06905539850129022,0.9778888888888889,0.2554868458271027,0.9226,31.063414300000204
25,0.0537917233215438,0.9833777777777778,0.2620942355632782,0.924,30.708888599999682
26,0.04296676845153173,0.9867555555555556,0.23901497182846068,0.9302,30.552661899999748
27,0.03622097993294398,0.9893777777777778,0.2409088653087616,0.9278,30.680676300000414
28,0.02889409474796719,0.9923777777777778,0.23796877479553222,0.932,30.670792300000357
29,0.02726641127400928,0.9928888888888889,0.23616417436599732,0.9316,30.502366899999743
30,0.02606158731977145,0.9935777777777778,0.23501243352890014,0.9322,30.461907899999915
