783,10,104,11,11,1,13,6,28,33
34,829,12,6,1,1,12,3,6,96
49,1,735,47,50,28,66,14,4,6
23,0,120,568,53,102,93,15,7,19
17,1,120,37,699,9,72,41,3,1
9,0,69,222,50,579,36,32,1,2
5,0,79,28,11,9,866,0,1,1
18,0,70,30,75,50,9,734,0,14
119,14,16,17,2,2,7,2,791,30
34,41,8,5,4,0,4,3,13,888
